temps;intensite
-0,003724;0,456
-0,00372;0,452
-0,003716;0,452
-0,003712;0,452
-0,003708;0,448
-0,003704;0,448
-0,0037;0,444
-0,003696;0,448
-0,003692;0,444
-0,003688;0,444
-0,003684;0,44
-0,00368;0,444
-0,003676;0,444
-0,003672;0,44
-0,003668;0,44
-0,003664;0,44
-0,00366;0,436
-0,003656;0,436
-0,003652;0,44
-0,003648;0,44
-0,003644;0,436
-0,00364;0,44
-0,003636;0,44
-0,003632;0,44
-0,003628;0,44
-0,003624;0,436
-0,00362;0,44
-0,003616;0,44
-0,003612;0,444
-0,003608;0,444
-0,003604;0,44
-0,0036;0,444
-0,003596;0,444
-0,003592;0,448
-0,003588;0,448
-0,003584;0,448
-0,00358;0,448
-0,003576;0,456
-0,003572;0,452
-0,003568;0,46
-0,003564;0,46
-0,00356;0,464
-0,003556;0,464
-0,003552;0,464
-0,003548;0,464
-0,003544;0,468
-0,00354;0,468
-0,003536;0,472
-0,003532;0,472
-0,003528;0,472
-0,003524;0,476
-0,00352;0,476
-0,003516;0,48
-0,003512;0,48
-0,003508;0,484
-0,003504;0,484
-0,0035;0,488
-0,003496;0,488
-0,003492;0,488
-0,003488;0,488
-0,003484;0,492
-0,00348;0,496
-0,003476;0,496
-0,003472;0,5
-0,003468;0,5
-0,003464;0,5
-0,00346;0,504
-0,003456;0,508
-0,003452;0,508
-0,003448;0,512
-0,003444;0,512
-0,00344;0,516
-0,003436;0,516
-0,003432;0,516
-0,003428;0,52
-0,003424;0,52
-0,00342;0,52
-0,003416;0,524
-0,003412;0,524
-0,003408;0,528
-0,003404;0,528
-0,0034;0,532
-0,003396;0,532
-0,003392;0,532
-0,003388;0,536
-0,003384;0,532
-0,00338;0,54
-0,003376;0,536
-0,003372;0,536
-0,003368;0,544
-0,003364;0,54
-0,00336;0,544
-0,003356;0,544
-0,003352;0,544
-0,003348;0,548
-0,003344;0,548
-0,00334;0,548
-0,003336;0,548
-0,003332;0,548
-0,003328;0,552
-0,003324;0,548
-0,00332;0,552
-0,003316;0,552
-0,003312;0,556
-0,003308;0,556
-0,003304;0,556
-0,0033;0,556
-0,003296;0,556
-0,003292;0,556
-0,003288;0,556
-0,003284;0,556
-0,00328;0,56
-0,003276;0,56
-0,003272;0,56
-0,003268;0,56
-0,003264;0,56
-0,00326;0,56
-0,003256;0,56
-0,003252;0,56
-0,003248;0,56
-0,003244;0,56
-0,00324;0,56
-0,003236;0,56
-0,003232;0,56
-0,003228;0,56
-0,003224;0,56
-0,00322;0,56
-0,003216;0,564
-0,003212;0,568
-0,003208;0,564
-0,003204;0,56
-0,0032;0,564
-0,003196;0,556
-0,003192;0,56
-0,003188;0,56
-0,003184;0,564
-0,00318;0,564
-0,003176;0,568
-0,003172;0,564
-0,003168;0,56
-0,003164;0,564
-0,00316;0,564
-0,003156;0,56
-0,003152;0,564
-0,003148;0,56
-0,003144;0,56
-0,00314;0,564
-0,003136;0,56
-0,003132;0,56
-0,003128;0,56
-0,003124;0,564
-0,00312;0,564
-0,003116;0,564
-0,003112;0,564
-0,003108;0,564
-0,003104;0,56
-0,0031;0,564
-0,003096;0,564
-0,003092;0,56
-0,003088;0,564
-0,003084;0,56
-0,00308;0,56
-0,003076;0,56
-0,003072;0,56
-0,003068;0,56
-0,003064;0,564
-0,00306;0,56
-0,003056;0,56
-0,003052;0,56
-0,003048;0,56
-0,003044;0,56
-0,00304;0,56
-0,003036;0,556
-0,003032;0,56
-0,003028;0,56
-0,003024;0,56
-0,00302;0,56
-0,003016;0,56
-0,003012;0,564
-0,003008;0,56
-0,003004;0,56
-0,003;0,56
-0,002996;0,56
-0,002992;0,56
-0,002988;0,56
-0,002984;0,56
-0,00298;0,56
-0,002976;0,56
-0,002972;0,56
-0,002968;0,56
-0,002964;0,556
-0,00296;0,56
-0,002956;0,56
-0,002952;0,564
-0,002948;0,56
-0,002944;0,56
-0,00294;0,56
-0,002936;0,56
-0,002932;0,56
-0,002928;0,56
-0,002924;0,56
-0,00292;0,56
-0,002916;0,56
-0,002912;0,56
-0,002908;0,56
-0,002904;0,56
-0,0029;0,564
-0,002896;0,56
-0,002892;0,56
-0,002888;0,56
-0,002884;0,56
-0,00288;0,56
-0,002876;0,56
-0,002872;0,56
-0,002868;0,56
-0,002864;0,56
-0,00286;0,56
-0,002856;0,56
-0,002852;0,56
-0,002848;0,564
-0,002844;0,56
-0,00284;0,56
-0,002836;0,56
-0,002832;0,564
-0,002828;0,56
-0,002824;0,56
-0,00282;0,56
-0,002816;0,56
-0,002812;0,564
-0,002808;0,56
-0,002804;0,564
-0,0028;0,56
-0,002796;0,56
-0,002792;0,568
-0,002788;0,564
-0,002784;0,564
-0,00278;0,56
-0,002776;0,56
-0,002772;0,564
-0,002768;0,564
-0,002764;0,564
-0,00276;0,564
-0,002756;0,564
-0,002752;0,564
-0,002748;0,56
-0,002744;0,564
-0,00274;0,564
-0,002736;0,564
-0,002732;0,564
